question,answer
"Глубина достигает 65 м.","Глубина достигает 65 метров."
"Халтуринский проезд проходит от Халтуринской улицы до Открытого ш., поворачивая на 90 ° (буквой «Г»); с запада к нему примыкает, заканчиваясь, Просторная улица.","Халтуринский проезд проходит от Халтуринской улицы до Открытого шоссе, поворачивая на 90 градусов (буквой «Г»); с запада к нему примыкает, заканчиваясь, Просторная улица."
"В качестве таковых разрабатывались такие языки как BASIC и Па.","В качестве таковых разрабатывались такие языки как BASIC и Паскаль."
"яз. Logo, появившийся на свет между Бейсиком и Па, стал первым языком программирования, изначально предназначенным для обучения детей.","Язык Logo, появившийся на свет между Бейсиком и Паскалем, стал первым языком программирования, изначально предназначенным для обучения детей."
"Разработанный в качестве развития линии Algol-60 Никлаусом Виртом яз. программирования Па автор с самого начала использовал для вводного курса программирования для студентов.","Разработанный в качестве развития линии Algol-60 Никлаусом Виртом язык программирования Паскаль автор с самого начала использовал для вводного курса программирования для студентов."
"Зародившийся в 2002 г на физфаке МГУ междунар. научно-образовательный проект «Информатика-21» поставил своей целью внедрение в рос. образование системы программирования BlackBox Component Builder, реализации Компонентного Па, диалекта Oberon-2 — объектно-ориентированного языка Па-семейства, разработанного Виртом.","Зародившийся в 2002 году на физфаке МГУ международный научно-образовательный проект «Информатика-21» поставил своей целью внедрение в российское образование системы программирования BlackBox Component Builder, реализации Компонентного Паскаля, диалекта Oberon-2 — объектно-ориентированного языка паскаль-семейства, разработанного Виртом."
"Как и др. языки Никлауса Вирта, он отличается (в т. числе от Объектного Па в стиле Borland) минимализмом.","Как и другие языки Никлауса Вирта, он отличается (в том числе от Объектного Паскаля в стиле Borland) минимализмом."
"Температура поверхности звезды составляет ок. 2940 К.","Температура поверхности звезды составляет около 2940 кельвинов."
"Исключения составляют пробка и натуральный паркет: с данными напольными покрытиями необходимо ограничивать нагрев полов до 28 °, либо использовать специальный инженерный паркет, к-рый предназначен для работы с теплыми полами.","Исключения составляют пробка и натуральный паркет: с данными напольными покрытиями необходимо ограничивать нагрев полов до 28 градусов, либо использовать специальный инженерный паркет, который предназначен для работы с теплыми полами."
"К 12 ноября брит. астроном Брайан Марсден на основании двухдневных наблюдений рассчитал параболическую орбиту, согласно которой комета должна была пройти перигелий 8 октября на расстоянии 2,05 а. е. от Солнца под углом в 20 ° °.","К 12 ноября британский астроном Брайан Марсден на основании двухдневных наблюдений рассчитал параболическую орбиту, согласно которой комета должна была пройти перигелий 8 октября на расстоянии 2,05 а. е. от Солнца под углом в 20 ° градусов."
"Она была описана как диффузный объект 18,0 m звёздной величины с хорошо различимым ядром магнитудой 20,6 m, а также комой 15 " угловых с в поперечнике и небольшим хвостом, простирающимся на 0,36 ' угловых минут к западу.","Она была описана как диффузный объект 18,0 m звёздной величины с хорошо различимым ядром магнитудой 20,6 m, а также комой 15 " угловых секунд в поперечнике и небольшим хвостом, простирающимся на 0,36 ' угловых минут к западу."
"Герой в исполнении Гродина, Джордж Н, глава обычной американской семьи, вопреки своему желанию, заводит щенка сенбернара.","Герой в исполнении Гродина, Джордж Ньютон, глава обычной американской семьи, вопреки своему желанию, заводит щенка сенбернара."
"д. находится в центральной части Архангельской области, в подзоне северной тайги, на острове Куростров, расположенном в Холмогорском разветвлении Северной Двины, к северу от автодороги 11К-858, на расстоянии примерно 3 км (по прямой) к востоку от села Холмогоры, административного центра округа.","Деревня находится в центральной части Архангельской области, в подзоне северной тайги, на острове Куростров, расположенном в Холмогорском разветвлении Северной Двины, к северу от автодороги 11К-858, на расстоянии примерно 3 километров (по прямой) к востоку от села Холмогоры, административного центра округа."
"Но в отличие от коал они способны преодолевать расстояния до 100 м по воздуху благодаря летательной перепонке.","Но в отличие от коал они способны преодолевать расстояния до 100 метров по воздуху благодаря летательной перепонке."
