question,answer
"В концертном репертуаре Цивина — хореографический № «Pro et contrа» на музыку А. Кулыгина (балетмейстер В. Боккадоро; первый исполнитель), па-де-дё из балета «Пламя Парижа» (балетмейстер В. И. Вайнонен).","В концертном репертуаре Цивина — хореографический номер «Pro et contrа» на музыку А. Кулыгина (балетмейстер В. Боккадоро; первый исполнитель), па-де-дё из балета «Пламя Парижа» (балетмейстер В. И. Вайнонен)."
"Согласно материалам по статистике народного хозяйства Царскосельского уезда 1888 года имение при селении Мельница площадью 15 десятин принадлежало вдове коллежского советника С. А. Кавелина, оно было приобретено в 1880 году за 1500 ₽.","Согласно материалам по статистике народного хозяйства Царскосельского уезда 1888 года имение при селении Мельница площадью 15 десятин принадлежало вдове коллежского советника С. А. Кавелина, оно было приобретено в 1880 году за 1500 рублей."
"Ценовой диапазон Maxus G50 варьируется от 86800 до 156800 ¥.","Ценовой диапазон Maxus G50 варьируется от 86800 до 156800 юаней."
"Блейд-серверы производят с различным успехом и другие компании, например Appro, Intel, Rackable (SGI), Verari, Supermicro, однако они занимают на рынке блейд-серверов долю в несколько десятых % или даже менее.","Блейд-серверы производят с различным успехом и другие компании, например Appro, Intel, Rackable (SGI), Verari, Supermicro, однако они занимают на рынке блейд-серверов долю в несколько десятых процента или даже менее."
"Локации в игре можно осмотреть, поворачиваясь на 360 °.","Локации в игре можно осмотреть, поворачиваясь на 360 градусов."
"Впечатленные его трудолюбием и решимостью, 17 марта 2017 года «Калгари Флэймз» наградили Ломберга двухлетним контрактом новичка на сумму 710 000 $ за сезон в НХЛ.","Впечатленные его трудолюбием и решимостью, 17 марта 2017 года «Калгари Флэймз» наградили Ломберга двухлетним контрактом новичка на сумму 710 000 долларов за сезон в НХЛ."
"После пяти сезонов в организации «Флэймз» Ломберг ушел в качестве свободного агента, чтобы 9 октября 2020 года подписать двухлетний контракт на сумму 1,45 миллиона $ с «Флорида Пантерз».","После пяти сезонов в организации «Флэймз» Ломберг ушел в качестве свободного агента, чтобы 9 октября 2020 года подписать двухлетний контракт на сумму 1,45 миллиона долларов с «Флорида Пантерз»."
"Это позволило ему поднять книгу с бесконечным количеством страниц, что = весу с бесконечной массой.","Это позволило ему поднять книгу с бесконечным количеством страниц, что равно весу с бесконечной массой."
"В 1946 году вышло 24 №, в 1947 — 14 (с марта издавался ежемесячно).","В 1946 году вышло 24 номера, в 1947 — 14 (с марта издавался ежемесячно)."
"Некоторые № были целиком посвящены отдельным темам (№ 11 за 1947 год — 800-летию Москвы, № 13 за 1947 год — 30-летию советской власти).","Некоторые номера были целиком посвящены отдельным темам (№ 11 за 1947 год — 800-летию Москвы, № 13 за 1947 год — 30-летию советской власти)."
"Злоумышленники зачастую использовали устройства blue box для совершения бесплатных телефонных звонков, первоначально совершая звонки на Toll-free № и тем самым вмешиваясь в работу удалённых коммутаторов для перенаправления звонков на произвольный №.","Злоумышленники зачастую использовали устройства blue box для совершения бесплатных телефонных звонков, первоначально совершая звонки на Toll-free номера и тем самым вмешиваясь в работу удалённых коммутаторов для перенаправления звонков на произвольный номер."
"Затем нужно было набрать №, также через имитацию вызова в тональном режиме.","Затем нужно было набрать номер, также через имитацию вызова в тональном режиме."
"Для последующего набора № Кранч использовал самодельное устройство под названием «Blue box» («синяя коробочка»).","Для последующего набора номера Кранч использовал самодельное устройство под названием «Blue box» («синяя коробочка»)."
"Сначала изготовление одной «коробки» обходилось Возняку примерно в 80 $, но затем он сделал печатную плату, позволявшую изготавливать сразу по 10-20 «коробок», и себестоимость одной штуки упала до 40 $.","Сначала изготовление одной «коробки» обходилось Возняку примерно в 80 долларов, но затем он сделал печатную плату, позволявшую изготавливать сразу по 10-20 «коробок», и себестоимость одной штуки упала до 40 долларов."
"Готовые «коробочки» друзья продавали по 150 $ за штуку, доход делили поровну.","Готовые «коробочки» друзья продавали по 150 долларов за штуку, доход делили поровну."
"Пользователь сначала набирает телефонный №, обслуживаемый другой АТС.","Пользователь сначала набирает телефонный номер, обслуживаемый другой АТС."
"После сигнала 2600 Гц линия сбрасывается (supervision flash), после чего пользователь может с помощью Blue Box набрать либо новый телефонный №, либо один из многочисленных внутренних номеров телефонной компании, предваряемые тоновым сигналом KP (key pulse).","После сигнала 2600 Гц линия сбрасывается (supervision flash), после чего пользователь может с помощью Blue Box набрать либо новый телефонный номер, либо один из многочисленных внутренних номеров телефонной компании, предваряемые тоновым сигналом KP (key pulse)."
"После завершения набора № и двухтонового сигнала ST (start) АТС считает, что пользователь всё ещё пользуется старой линией, однако фактически пользователь звонит на совершенно другой №.","После завершения набора номера и двухтонового сигнала ST (start) АТС считает, что пользователь всё ещё пользуется старой линией, однако фактически пользователь звонит на совершенно другой номер."
"Производственный бюджет вырос с первоначальных десяти миллионов $ почти вдвое — до семнадцати.","Производственный бюджет вырос с первоначальных десяти миллионов долларов почти вдвое — до семнадцати."
"«Красный рассвет» стал коммерчески успешным, собрав в прокате почти 40 миллионов $ при бюджете около семнадцати.","«Красный рассвет» стал коммерчески успешным, собрав в прокате почти 40 миллионов долларов при бюджете около семнадцати."
"По мнению академика Российской академии космонавтики им. К. Э. Циолковского Ивана Никитьевича Мурзинова, высказанному в интервью корреспонденту «Новой газеты» 8 июня 2016 года, Тунгусский метеорит представлял собой чрезвычайно массивный каменный метеороид астероидного происхождения, который вошёл в атмосферу Земли по очень пологой траектории, которая на высоте 100 км составляла угол около 7—9 ° с поверхностью, и имел скорость около 20 километров в секунду.","По мнению академика Российской академии космонавтики им. К. Э. Циолковского Ивана Никитьевича Мурзинова, высказанному в интервью корреспонденту «Новой газеты» 8 июня 2016 года, Тунгусский метеорит представлял собой чрезвычайно массивный каменный метеороид астероидного происхождения, который вошёл в атмосферу Земли по очень пологой траектории, которая на высоте 100 км составляла угол около 7—9 градусов с поверхностью, и имел скорость около 20 километров в секунду."
"В одном случае Найт вошёл в гостиничный № ван Винкла и, предположительно, свесил его вверх ногами с балкона.","В одном случае Найт вошёл в гостиничный номер ван Винкла и, предположительно, свесил его вверх ногами с балкона."
"В том же году Найт предложил выплатить залог (1,4 миллиона $) за Тупака Шакура если рэпер согласится подписать контракт с Death Row.","В том же году Найт предложил выплатить залог (1,4 миллиона долларов) за Тупака Шакура если рэпер согласится подписать контракт с Death Row."
"Его информация использовалась семьёй Уоллеса в их иске на 500 миллионов $ против города Лос-Анджелес в смерти Бигги.","Его информация использовалась семьёй Уоллеса в их иске на 500 миллионов долларов против города Лос-Анджелес в смерти Бигги."
"Как отмечал Чак Филипс в своей более ранней статье в «Los Angeles Times», Crips предложили миллион $ партнёры «Bad Boy Records» за убийство Тупака.","Как отмечал Чак Филипс в своей более ранней статье в «Los Angeles Times», Crips предложили миллион долларов партнёры «Bad Boy Records» за убийство Тупака."
"Суд обязал Найта выплатить Харрис 107 миллионов $.","Суд обязал Найта выплатить Харрис 107 миллионов долларов."
"Согласно финансовым отчётам, на его банковском счёте было всего 12 $, и он владел одеждой стоимостью в 1 000 $, мебелью и приборами — в 2 000 и драгоценностями — в 25 000.","Согласно финансовым отчётам, на его банковском счёте было всего 12 долларов, и он владел одеждой стоимостью в 1 000 долларов, мебелью и приборами — в 2 000 и драгоценностями — в 25 000."
"Харрис сказала репортерам, что она получила оплату в размере 1 миллиона $, но не согласилась уладить вопрос.","Харрис сказала репортерам, что она получила оплату в размере 1 миллиона долларов, но не согласилась уладить вопрос."
"В июне 2007 года он выставил свой дом с семью спальнями в Малибу за 6,2 миллионов $.","В июне 2007 года он выставил свой дом с семью спальнями в Малибу за 6,2 миллионов долларов."
"Знаменитый электрический стул Death Row был продан за 2 500 $.","Знаменитый электрический стул Death Row был продан за 2 500 долларов."
"Иск предъявлен за моральный и физический вред, вызванный стрельбой, больничные затраты, потерю дохода и кражу 15-каратовой (трёхграммовой) алмазной серёжки за 147 000 $.","Иск предъявлен за моральный и физический вред, вызванный стрельбой, больничные затраты, потерю дохода и кражу 15-каратовой (трёхграммовой) алмазной серёжки за 147 000 долларов."
"Серийный № 419.","Серийный номер 419."
"50 — атомный № олова","50 — атомный номер олова"
"50 — именно такой № у квартиры по ул. Б.Садовая, д.10, в которой поселился Воланд в романе «Мастер и Маргарита» Михаила Булгакова.","50 — именно такой номер у квартиры по ул. Б.Садовая, д.10, в которой поселился Воланд в романе «Мастер и Маргарита» Михаила Булгакова."
"Царь Алексей Михайлович решил выплатить из государственной казны за освобождение В. Б. Шереметева 25 тысяч ₽.","Царь Алексей Михайлович решил выплатить из государственной казны за освобождение В. Б. Шереметева 25 тысяч рублей."
"В течение плена имя Василия Борисовича Шереметева из года в год значилось в боярском списке, с прежним денежным окладом в 400 ₽.","В течение плена имя Василия Борисовича Шереметева из года в год значилось в боярском списке, с прежним денежным окладом в 400 рублей."
"Ежегодно в Крым ему посылалось 200—300 ₽.","Ежегодно в Крым ему посылалось 200—300 рублей."
"В июне 2018 года «Интерфакс», со ссылкой на постановление, подписанное премьер-министром Дмитрием Медведевым, сообщил что правительство РФ направит дополнительные 1,79 млрд ₽ на достройку линии Лосево — Каменногорск.","В июне 2018 года «Интерфакс», со ссылкой на постановление, подписанное премьер-министром Дмитрием Медведевым, сообщил что правительство РФ направит дополнительные 1,79 млрд рублей на достройку линии Лосево — Каменногорск."
"По официальным данным, доход Завального вместе с супругой за 2011 год составил более 250,6 млн ₽.","По официальным данным, доход Завального вместе с супругой за 2011 год составил более 250,6 млн рублей."
"В рейтинге доходов чиновников русского издания журнала Форбс за 2012 год Павел Завальный занял 35-е место с суммарным доходом семьи 250 миллионов ₽.","В рейтинге доходов чиновников русского издания журнала Форбс за 2012 год Павел Завальный занял 35-е место с суммарным доходом семьи 250 миллионов рублей."
"Коллекции Прайса, = как и собрание растений натуралиста Джеймса Друммонда, положили начало изучению западноавстралийской флоры.","Коллекции Прайса, равно как и собрание растений натуралиста Джеймса Друммонда, положили начало изучению западноавстралийской флоры."
"Линдгрен нашёл другой бесконечный класс гипогамильтоновых графов, в котором число вершин = 4 (mod 6).","Линдгрен нашёл другой бесконечный класс гипогамильтоновых графов, в котором число вершин равно 4 (mod 6)."
"Вариант, в котором вместо символа подчёркивания используется дефис — kebab-case, или lisp-case(В компьютерном наборе следует различать несколько символов схожих по написанию, так как все они кодируются и сохраняются в памяти различными значениями кодов: дефис, -, среднее тире, тире, дефис-минус и мягкий перенос (‐, −, -, —, -, ‐).","Вариант, в котором вместо символа подчёркивания используется дефис — kebab-case, или lisp-case(В компьютерном наборе следует различать несколько символов схожих по написанию, так как все они кодируются и сохраняются в памяти различными значениями кодов: дефис, минус, среднее тире, тире, дефис-минус и мягкий перенос (‐, −, -, —, -, ‐)."
