question,answer,count_simple,count_simple_translated,count_simple_long,count_simple_long_translated,count_cases_translated,count_cases_long
"Плавание — памятная монета номиналом 2 ₴, выпущенная Национальным банком Украины, посвящённая XXVIII Играм Олимпиады, проходивших в 2004 году в Афинах (Греция).","Плавание — памятная монета номиналом 2 гривны, выпущенная Национальным банком Украины, посвящённая XXVIII Играм Олимпиады, проходивших в 2004 году в Афинах (Греция).",0,0,0,0,1,0
"Ныне действующий флаг утверждён 24 августа 2017 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 11606.","Ныне действующий флаг утверждён 24 августа 2017 года и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 11606.",0,0,0,0,1,0
"«Чао» (англ. Ciao) — фильм-драма режиссёра ¥ Тана, короткая история романтических отношений двух мужчин, которых свела вместе внезапная смерть их общего друга.","«Чао» (англ. Ciao) — фильм-драма режиссёра Йена Тана, короткая история романтических отношений двух мужчин, которых свела вместе внезапная смерть их общего друга.",0,0,0,0,1,0
"Номинировался на премию Оскар (1948) в двух категориях: «Лучшая песня» («It’s Magic») и «Лучшая музыка и лучшая постановка музыкальных №» (Рэй Хендорф).","Номинировался на премию Оскар (1948) в двух категориях: «Лучшая песня» («It’s Magic») и «Лучшая музыка и лучшая постановка музыкальных номеров» (Рэй Хендорф).",0,0,0,0,1,0
"«О делах в Херсонесе» (др.-греч. περὶ τῶν ἐν Χερρονήσῳ) — речь древнегреческого оратора Демосфена, сохранившаяся в составе «демосфеновского корпуса» под № VIII.","«О делах в Херсонесе» (др.-греч. περὶ τῶν ἐν Χερρονήσῳ) — речь древнегреческого оратора Демосфена, сохранившаяся в составе «демосфеновского корпуса» под номером VIII.",0,0,0,0,1,0
"В 2018 году соревнование относилось к международной категории турниров, проводящейся в рамках WTA Тура с призовым фондом 250 тысяч $ и турнирной сеткой, рассчитанной на 32 участницы в одиночном разряде и 16 пар.","В 2018 году соревнование относилось к международной категории турниров, проводящейся в рамках WTA Тура с призовым фондом 250 тысяч долларов и турнирной сеткой, рассчитанной на 32 участницы в одиночном разряде и 16 пар.",0,0,0,0,1,0
"Флаг утверждён 28 февраля 2002 года как флаг муниципального образования «Коломенский район» (после муниципальной реформы — Коломенский муниципальный район) и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного № 913.","Флаг утверждён 28 февраля 2002 года как флаг муниципального образования «Коломенский район» (после муниципальной реформы — Коломенский муниципальный район) и внесён в Государственный геральдический регистр Российской Федерации с присвоением регистрационного номера 913.",0,0,0,0,1,0
"Памятник был внесён в единую Книгу памяти под № 27008.","Памятник был внесён в единую Книгу памяти под номером 27008.",0,0,0,0,1,0
"Ремикс от Junkie XL «And Then We Kiss» — это €-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов.","Ремикс от Junkie XL «And Then We Kiss» — это евро-транс песня с влиянием техно и использованием дэнс-рок гитар, синтезаторов и симфонических струнных инструментов.",0,0,0,0,1,0
"Свине́ц (лат. Plumbum; обозначается символом Pb) — элемент 14-й группы (по устаревшей классификации — главной подгруппы IV группы), шестого периода периодической системы химических элементов Д. И. Менделеева, с атомным № 82 и, таким образом, ∋ магическое число протонов.","Свине́ц (лат. Plumbum; обозначается символом Pb) — элемент 14-й группы (по устаревшей классификации — главной подгруппы IV группы), шестого периода периодической системы химических элементов Д. И. Менделеева, с атомным номером 82 и, таким образом, содержит магическое число протонов.",0,1,0,0,1,0
