question,answer
"Loboda — «40 °»","Loboda — «40 градусов»"
"Бета-1 связывается с множеством α-субъединиц.","Бета-1 связывается с множеством альфа-субъединиц."
"По данным одного исследования, β-1-интегрины и ламинины играют важную роль в образовании цепочек из нейрональных клеток-предшественников, которые у некоторых видов при взрослом нейрогенезе мигрируют из субвентрикулярной зоны в обонятельную луковицу по ростральному миграционному тракту.","По данным одного исследования, бета-1-интегрины и ламинины играют важную роль в образовании цепочек из нейрональных клеток-предшественников, которые у некоторых видов при взрослом нейрогенезе мигрируют из субвентрикулярной зоны в обонятельную луковицу по ростральному миграционному тракту."
"Обзор "функции β-1-интегрина in vivo: адгезия, миграция, и другие".","Обзор "функции бета-1-интегрина in vivo: адгезия, миграция, и другие"."
"Официальный сайт ФИФА называет этот финт «гениальным поворотом на 360 °, завораживающим вращательным движением, выполненным на скорости и предназначенным для того, чтобы убрать расположенных рядом защитников, сохраняя полный контроль над мячом».","Официальный сайт ФИФА называет этот финт «гениальным поворотом на 360 градусов, завораживающим вращательным движением, выполненным на скорости и предназначенным для того, чтобы убрать расположенных рядом защитников, сохраняя полный контроль над мячом»."
"Среди любителей футбола здесь был распространён финт, который представлял собой разворот в движении с мячом на 360 ° с целью проскользнуть мимо защитника.","Среди любителей футбола здесь был распространён финт, который представлял собой разворот в движении с мячом на 360 градусов с целью проскользнуть мимо защитника."
"В 2011 году увидел свет 13-й № Ежегодника.","В 2011 году увидел свет 13-й номер Ежегодника."
"Главный герой набирает № не подозревая, что обращается за помощью непосредственно в преисподнюю.","Главный герой набирает номер не подозревая, что обращается за помощью непосредственно в преисподнюю."
"В прокате фильму удалось собрать 2 955 917 $.","В прокате фильму удалось собрать 2 955 917 долларов."
"Гимнастки используют в комбинациях до селе неиспользуемые повороты в висе — «санжировки», то есть повороты махом вперёд на 180 °.","Гимнастки используют в комбинациях до селе неиспользуемые повороты в висе — «санжировки», то есть повороты махом вперёд на 180 градусов."
"Чешская гимнастка Вера Чаславска вставляет в свою программу ещё более интересный элемент — из упора спереди отмах с подлётом и поворотом на 360 ° в вис.","Чешская гимнастка Вера Чаславска вставляет в свою программу ещё более интересный элемент — из упора спереди отмах с подлётом и поворотом на 360 градусов в вис."
"Любовь Бурда уже в 1970 году исполняет оборот назад стоя и санжировку с поворотом на 360, то есть общий поворот составлял 540 °.","Любовь Бурда уже в 1970 году исполняет оборот назад стоя и санжировку с поворотом на 360, то есть общий поворот составлял 540 градусов."
"Теперь это оригинальные контрсальто вперёд после дуги вперёд из оборота стоя, которые чуть позже стали исполняться в положении согнувшись, а также с поворотами на 180 и 360 °.","Теперь это оригинальные контрсальто вперёд после дуги вперёд из оборота стоя, которые чуть позже стали исполняться в положении согнувшись, а также с поворотами на 180 и 360 градусов."
"В 1978 году Стэффи Крэкер исполняет соскок Команечи с поворотом на 360 °.","В 1978 году Стэффи Крэкер исполняет соскок Команечи с поворотом на 360 градусов."
"Также практикуются соскоки с отталкиванием бёдрами от в.ж. и сальто назад с поворотом на 180 и 360 °.","Также практикуются соскоки с отталкиванием бёдрами от в.ж. и сальто назад с поворотом на 180 и 360 градусов."
"Многие гимнастки берутся за исполнение соскоков лётом из упора спереди с поворотом на 360 °.","Многие гимнастки берутся за исполнение соскоков лётом из упора спереди с поворотом на 360 градусов."
"А её вторая связка послужит и для последующих поколений гимнасток отличным примером простоты и гениальности задумки — после оригинального большого оборот назад с прыжком и поворотом на 540 идёт сальто Пак, затем сразу же штальдер на н.ж. и сразу же её второй именной элемент — перелёт Хоркиной или Шапошниковой с поворотом на 180 °.","А её вторая связка послужит и для последующих поколений гимнасток отличным примером простоты и гениальности задумки — после оригинального большого оборот назад с прыжком и поворотом на 540 идёт сальто Пак, затем сразу же штальдер на н.ж. и сразу же её второй именной элемент — перелёт Хоркиной или Шапошниковой с поворотом на 180 градусов."
"В этой поездке она побывала в 65 американских городах и собрала около 100 000 $.","В этой поездке она побывала в 65 американских городах и собрала около 100 000 долларов."
"В августе 2024 года был поглощён производитель серверов ZT Systems, сумма сделки составила 4,9 млрд $.","В августе 2024 года был поглощён производитель серверов ZT Systems, сумма сделки составила 4,9 млрд долларов."
"Прошедший шторм породил торнадо в окрестностях города Кейп-Корал, разрушивший 11 домов и нанёсший около 103 тысячи $ США прямого ущерба.","Прошедший шторм породил торнадо в окрестностях города Кейп-Корал, разрушивший 11 домов и нанёсший около 103 тысячи долларов США прямого ущерба."
"Ещё 125 тысяч $ убытков принёс сам тропический шторм Клодетт, нанеся повреждения инфраструктуре пляжей и частной собственности на побережье Флориды.","Ещё 125 тысяч долларов убытков принёс сам тропический шторм Клодетт, нанеся повреждения инфраструктуре пляжей и частной собственности на побережье Флориды."
"Банк полностью потерял капитал и активы в размере 67 млрд ₽.","Банк полностью потерял капитал и активы в размере 67 млрд рублей."
"В июле 2012 года Аэрофлот назвал именем В. Брумеля один из новых самолётов Airbus A330-343 (серийный № 1328, государственный и регистрационный опознавательный знак VQ-BPJ, с 2022 года — RA-73786).","В июле 2012 года Аэрофлот назвал именем В. Брумеля один из новых самолётов Airbus A330-343 (серийный номер 1328, государственный и регистрационный опознавательный знак VQ-BPJ, с 2022 года — RA-73786)."
"Несмотря на хвалебные рецензии, он не имел большого успеха у публики (его высшее достижение — 36-й № в Billboard 200).","Несмотря на хвалебные рецензии, он не имел большого успеха у публики (его высшее достижение — 36-й номер в Billboard 200)."
"Любимые песни», в который вошли 17 песен, спетых Ниной Кирсо в разные годы, в том числе три абсолютно новых №.","Любимые песни», в который вошли 17 песен, спетых Ниной Кирсо в разные годы, в том числе три абсолютно новых номера."
"Декабрь 1989 («Мелодия») — Участники песенного Фестиваля «Алтын-Алма» (отдельный № — песня «Ключ»)","Декабрь 1989 («Мелодия») — Участники песенного Фестиваля «Алтын-Алма» (отдельный номер — песня «Ключ»)"
"Октябрь 1991 («Мелодия» — «Русский диск») — Лучшее из поп-музыки — Лауреаты Фестиваля «Форманта-1991» в г. Качканаре (отдельный № — песня «Бог тебя накажет»)","Октябрь 1991 («Мелодия» — «Русский диск») — Лучшее из поп-музыки — Лауреаты Фестиваля «Форманта-1991» в г. Качканаре (отдельный номер — песня «Бог тебя накажет»)"
"Трудящимися района получено продукции животноводства на 22 % больше, чем за годы восьмой пятилетки, перевыполнен план и по всем другим показателям.","Трудящимися района получено продукции животноводства на 22 процента больше, чем за годы восьмой пятилетки, перевыполнен план и по всем другим показателям."
